username,platform,engagement_signal,intent_tier,intent_signal,source,competitor_brand,followers
danii.t__,Instagram,1,1-High,comment,ig-comment,,
deborahs22,Instagram,1,1-High,comment,ig-comment,,
justmycause,Instagram,1,1-High,comment,ig-comment,,
nicklondonmakeup,Instagram,1,1-High,comment,ig-comment,,
luv.swerv,Instagram,1,1-High,comment,ig-comment,,
memphiscardcompany,Instagram,1,1-High,comment,ig-comment,,
alliknowisrip,Instagram,1,1-High,comment,ig-comment,,
togekid,Instagram,1,1-High,comment,ig-comment,,
hypeland.la,Instagram,1,1-High,comment,ig-comment,,
gotta_snatch_em_all,Instagram,1,1-High,comment,ig-comment,,
fabiancantbestopped,Instagram,1,1-High,comment,ig-comment,,
zakkimia,Instagram,1,1-High,comment,ig-comment,,
spinerio_,Instagram,1,1-High,comment,ig-comment,,
sunnystattoos,Instagram,1,1-High,comment,ig-comment,,
bellaxq60,Instagram,1,1-High,comment,ig-comment,,
brida.skade1387,Instagram,1,1-High,comment,ig-comment,,
patticakie,Instagram,1,1-High,comment,ig-comment,,
jojo_modifiedvixen,Instagram,1,1-High,comment,ig-comment,,
morningstar_shadow,Instagram,1,1-High,comment,ig-comment,,
mediocrebatcave,Instagram,1,1-High,comment,ig-comment,,
jennblack_no1,Instagram,1,1-High,comment,ig-comment,,
waterdragon86,Instagram,1,1-High,comment,ig-comment,,
_mademoisellebianca,Instagram,1,1-High,comment,ig-comment,,
tiffandallthethings,Instagram,1,1-High,comment,ig-comment,,
mujeresmarket,Instagram,1,1-High,comment,ig-comment,,
ms.sueling,Instagram,1,1-High,comment,ig-comment,,
decklyshop,Instagram,1,1-High,comment,ig-comment,,
chasepunx,Instagram,1,1-High,comment,ig-comment,,
prodmuddy,Instagram,1,1-High,comment,ig-comment,,
otiasports,Instagram,1,1-High,comment,ig-comment,,
hvajax,Instagram,1,1-High,comment,ig-comment,,
_mmm.44,Instagram,1,1-High,comment,ig-comment,,
becker_phoenix,Instagram,1,1-High,comment,ig-comment,,
missykct,Instagram,1,1-High,comment,ig-comment,,
