username,fullName,niches,hashtags_found,posts,avg_engagement,profile_url,example_post,likely_brand_acct
tobiascorrea_1293,Ivanna Denise Alegre,gambling,casinobonus,1,3,https://www.instagram.com/tobiascorrea_1293/,https://www.instagram.com/p/Da-uK3EqXss/,
life_changer_salar,Salar Khan,gambling,gambling,1,0,https://www.instagram.com/life_changer_salar/,https://www.instagram.com/p/Da_h8fTNzcd/,
motiondailytv,Motion Daily Tv,gambling,gambling,1,27,https://www.instagram.com/motiondailytv/,https://www.instagram.com/p/Da_XHWUCU1x/,
fromhereforward81,Fromhereforward81,gambling,gambling,1,0,https://www.instagram.com/fromhereforward81/,https://www.instagram.com/p/Da_OdsfsFri/,
hereforwarduk,Hereforwarduk,gambling,gambling,1,1,https://www.instagram.com/hereforwarduk/,https://www.instagram.com/p/Da_NXrWgYaJ/,
coquiosity,Coqui,gambling,gambling,1,2,https://www.instagram.com/coquiosity/,https://www.instagram.com/p/Da_F_evtJQd/,
pobrecit0pickzzz,,gambling,gambling,1,10,https://www.instagram.com/pobrecit0pickzzz/,https://www.instagram.com/p/Da-_NOSxNL5/,
eh_d,Eddie Castro,gambling,gambling,1,4,https://www.instagram.com/eh_d/,https://www.instagram.com/p/Da-9mcZpJKP/,
streambro_,,gambling,slotstreamer,1,2,https://www.instagram.com/streambro_/,https://www.instagram.com/p/DYrVo4ECMlu/,
tigerstake_,TigerStake,gambling,casinostreamer,1,11,https://www.instagram.com/tigerstake_/,https://www.instagram.com/p/DaiC-FPjPUZ/,
horrors,Horrors,brand,rainbet,1,64,https://www.instagram.com/horrors/,https://www.instagram.com/p/Da6WdH-G5oY/,
_mediaroom101,Media Room 101 📲,brand,rainbet,1,-1,https://www.instagram.com/_mediaroom101/,https://www.instagram.com/p/Da4YzOElACU/,
lord_dmar,Hokage,brand,rainbet,1,31,https://www.instagram.com/lord_dmar/,https://www.instagram.com/p/Da22bj_I48v/,
eyepatchchild,,brand,rainbet,1,99,https://www.instagram.com/eyepatchchild/,https://www.instagram.com/p/Da1D-axiWSq/,
mtarmour.collectables,MT Armour Collectables,watch,luxurywatches,1,0,https://www.instagram.com/mtarmour.collectables/,https://www.instagram.com/p/Da_hEC8mOf3/,
inlandempiretc,Inland Empire Trading Co.,watch,luxurywatches,1,0,https://www.instagram.com/inlandempiretc/,https://www.instagram.com/p/Da_c3SskdKQ/,
velmor.mods,VELMOR,watch,luxurywatches,1,4,https://www.instagram.com/velmor.mods/,https://www.instagram.com/p/Da_aUPJtqZo/,
aveloreluxe,Avelore Luxe,watch,luxurywatches,1,0,https://www.instagram.com/aveloreluxe/,https://www.instagram.com/p/Da_aRqhmQG5/,
fmb.watch,Frank,watch,luxurywatches,1,10,https://www.instagram.com/fmb.watch/,https://www.instagram.com/p/Da_YLXGDHj_/,
shahwatxhes,SHAH Time ⭐,watch,luxurywatches,1,2,https://www.instagram.com/shahwatxhes/,https://www.instagram.com/p/Da_XJ8WEc8P/,
charliesingames,Charlie Sin,brand,packdraw,1,0,https://www.instagram.com/charliesingames/,https://www.instagram.com/p/Davuz17x8xG/,
_vandul,VANDUL,brand,packdraw,1,254,https://www.instagram.com/_vandul/,https://www.instagram.com/p/DalxRcnGiQx/,
musetrendytoy,MUSE Trendy Toy,brand,packdraw,1,0,https://www.instagram.com/musetrendytoy/,https://www.instagram.com/p/DaLThKVnA2Z/,
visurasj,D500,brand,packdraw,1,7,https://www.instagram.com/visurasj/,https://www.instagram.com/p/DZ9PTrdm3r0/,
holoreserveshop,Chris Yerkes,pokemon,pokemondealer,1,4,https://www.instagram.com/holoreserveshop/,https://www.instagram.com/p/DXpowQRE5Fb/,
mad.love.gaming,Mike & Tara,pokemon,pokemoncollector,1,0,https://www.instagram.com/mad.love.gaming/,https://www.instagram.com/p/Da_gZoXGHmX/,
ivncollects,,pokemon,pokemoncollector,1,0,https://www.instagram.com/ivncollects/,https://www.instagram.com/p/Da_gSwqCTmh/,
authorsemishida,Sarah Ishida,pokemon,pokemoncollector,1,1,https://www.instagram.com/authorsemishida/,https://www.instagram.com/p/Da_gRtkDbV2/,
zd_card_vault,ZD Card Vault,pokemon,pokemoncollector,1,0,https://www.instagram.com/zd_card_vault/,https://www.instagram.com/p/Da_fHA8jb6v/,
cardboardcanine,TrainerWolf,pokemon,pokemoncollector,1,4,https://www.instagram.com/cardboardcanine/,https://www.instagram.com/p/Da_eb34KvVC/,
codys_cards864,Cody,pokemon,pokemoncollector,1,0,https://www.instagram.com/codys_cards864/,https://www.instagram.com/p/Da_eQbmINAv/,
oldfriendstcg,OldFriendsTCG,pokemon,pokemoncollector,1,1,https://www.instagram.com/oldfriendstcg/,https://www.instagram.com/p/Da_dmzgvca1/,
peachimew,🌱,pokemon,pokemoncollector,1,24,https://www.instagram.com/peachimew/,https://www.instagram.com/p/Da_d5rgFFfR/,
pokedoc.ae,The Ancient Mew Guy,pokemon,pokemoncollector,1,0,https://www.instagram.com/pokedoc.ae/,https://www.instagram.com/p/Da_cPk4DtfB/,
abc_cards_and_games,ABC Cards&Games,pokemon,pokemoncollector,1,1,https://www.instagram.com/abc_cards_and_games/,https://www.instagram.com/p/Da_a3W2jIVs/,
shopkagevaultofficial,Kage Vault,pokemon,pokemoncollector,1,0,https://www.instagram.com/shopkagevaultofficial/,https://www.instagram.com/p/Da_Y8H-FUOO/,
cap_hunting_safaris,Cap Hunting Safaris,gambling,bigwin,1,8,https://www.instagram.com/cap_hunting_safaris/,https://www.instagram.com/p/Da_cZegEac0/,
u11elite_lbk_2026,Oshawa Lady Blue Knights U11 Elite 2026,gambling,bigwin,1,10,https://www.instagram.com/u11elite_lbk_2026/,https://www.instagram.com/p/Da-7_DBJXEv/,
weloveshaperlfc,WE LOVE SHAPE R.L.F.C,gambling,bigwin,1,0,https://www.instagram.com/weloveshaperlfc/,https://www.instagram.com/p/Da-0JkfoFFZ/,
sfsilentshot,SFSilentShot,pokemon,pokemoncommunity,1,0,https://www.instagram.com/sfsilentshot/,https://www.instagram.com/p/Da_hKmkqr-q/,
epicgeek_loja,Epic_geek,pokemon,pokemoncommunity,1,0,https://www.instagram.com/epicgeek_loja/,https://www.instagram.com/p/Da_hRh8ji06/,
azabeee.ffxiv,Aza Beee,pokemon,pokemoncommunity,1,2,https://www.instagram.com/azabeee.ffxiv/,https://www.instagram.com/p/Da_gJVSApiO/,
silverbeard_collectibles,S_javier,pokemon,pokemoncommunity,1,0,https://www.instagram.com/silverbeard_collectibles/,https://www.instagram.com/p/Da_e41PJWVN/,
muftiiyt,Mufaddal Najefy,pokemon,pokemoncommunity,1,1,https://www.instagram.com/muftiiyt/,https://www.instagram.com/p/Da_eCdkDMwl/,
limitbreakcards,Limit Break Cards,pokemon,pokemoncommunity,1,1,https://www.instagram.com/limitbreakcards/,https://www.instagram.com/p/Da_dKydJUa0/,
oficialjdcards,JD Cards,pokemon,pokemoncommunity,1,1,https://www.instagram.com/oficialjdcards/,https://www.instagram.com/p/Da_cPJqlQqf/,
