username,platform,comments_on_competitors,posts_engaged,source,profile
nicklondonmakeup,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/nicklondonmakeup/
luv.swerv,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/luv.swerv/
memphiscardcompany,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/memphiscardcompany/
alliknowisrip,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/alliknowisrip/
togekid,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/togekid/
hypeland.la,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/hypeland.la/
gotta_snatch_em_all,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/gotta_snatch_em_all/
fabiancantbestopped,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/fabiancantbestopped/
zakkimia,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/zakkimia/
spinerio_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/spinerio_/
sunnystattoos,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/sunnystattoos/
bellaxq60,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/bellaxq60/
brida.skade1387,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/brida.skade1387/
patticakie,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/patticakie/
jojo_modifiedvixen,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jojo_modifiedvixen/
morningstar_shadow,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/morningstar_shadow/
mediocrebatcave,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mediocrebatcave/
jennblack_no1,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jennblack_no1/
waterdragon86,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/waterdragon86/
_mademoisellebianca,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_mademoisellebianca/
tiffandallthethings,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/tiffandallthethings/
mujeresmarket,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mujeresmarket/
ms.sueling,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ms.sueling/
decklyshop,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/decklyshop/
chasepunx,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/chasepunx/
prodmuddy,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/prodmuddy/
otiasports,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/otiasports/
hvajax,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/hvajax/
_mmm.44,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_mmm.44/
becker_phoenix,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/becker_phoenix/
missykct,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/missykct/
cratliff91,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/cratliff91/
kaki2415,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/kaki2415/
str83dge73,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/str83dge73/
aaron_h.94,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/aaron_h.94/
thatonetimetay,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/thatonetimetay/
cesar2016,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/cesar2016/
chasesws,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/chasesws/
jetb12,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jetb12/
mitchlk18,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mitchlk18/
viagocards,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/viagocards/
dragonscalesupplies,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/dragonscalesupplies/
b0mbayy,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/b0mbayy/
bebeclays,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/bebeclays/
frankiesdandelioncrown,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/frankiesdandelioncrown/
onthemoneyah,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/onthemoneyah/
much_siicker_than_your_average,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/much_siicker_than_your_average/
noahandnoelismommy1416,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/noahandnoelismommy1416/
deadgirlana,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/deadgirlana/
___adriiana_moreno,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/___adriiana_moreno/
xglitterghostx,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/xglitterghostx/
scorpbch,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/scorpbch/
